阿尔河	aar(n.);
绿矾	[化]copperas(n.);
铜斑蛇	copperhead(n.);
红毛人	[俗]coppertop(n.);
树丛	coppice(n.);
系司	[文]copula;
交合	[生]copula;
系词	copulative(n.);
复本	copy(n.)|duplicate(n.);
副本	copy(n.)|counterpart(n.);
抄	copy(v.);
誊	copy(v.);
复印	copy(v.)|xerox(n.);
油印机	copygraph(n.);
撒娇	coquet(vi.)|coquetry(n.)|peevish(adj.);
卖俏	coquet(vi.);
娇态	coquetry(n.);
风骚	coquettish(adj.);
珊瑚	coral(adj.);
绳索	cordage(n.)|rigging(n.);
心形	[植]cordate(adj.);
恳挚	cordial(n.)|cordiality(n.)|cordially(adv.);
热枕	cordial(n.);
提神	cordial(n.);
热诚	cordiality(n.)|enthusiastic(adj.)|[运]forward(adj.)|zeal(n.)|zealous(adj.);
线状无	cordite(n.);
烟火药	cordite(n.);
封锁线	cordon(n.);
饰带	cordon(n.)|[建]frieze(n.)|sash(n.)|soutache(n.)|streamer(n.);
果心	core(n.);
核心	core(n.)|nucleus(n.);
精髓	core(n.)|essential(n.)|essentiality(n.)|quintessential(adj.);
波斯菊	coreopsis(n.);
软木塞	cork(n.);
塞住	cork(vt.)|plug(v.)|plugging(n.);
螺丝锥	corkscrew(n.)|gimlet(n.);
塞拔	corkscrew(n.);
鹈鹕	cormorant(n.);
水老鸭	cormorant(n.);
谷粒	corn(n.);
玉蜀黍	corn(n.);
鸡眼	corn(n.);
腌	corn(vt.)|pickle(v.);
膜	[解]cornea(n.)|velamen(n.);
偏僻处	corner(n.);
困境	corner(n.)|extreme(pl.)|fix(n.)|hardship(n.)|lurch(n.)|quagmire(n.)|slough(n.);
囤积	corner(n.)|hoard(n.)|hoard(v.);
隅石	cornerstone(n.);
基石	cornerstone(n.)|footstone(n.)|sill(n.);
乐号	cornet(n.);
飞檐	[建]cornice(n.);
壁带	[建]cornice(n.);
制粉机	cornmill(n.);
麦秸	cornstalk(n.)|[英]haulm(n.);
玉米乾	cornstalk(n.);
丰饶角	[神话]cornucopia(n.);
丰饶	[神话]cornucopia(n.)|fertile(adj.)|fertility(n.)|fruitful(adj.)|luxuriant(adj.)|opulent(adj.)|plenteous(adj.)|plentiful(adj.);
花瓣	corolla(n.)|[植]petal(n.);
日冕	corona(n.)|sunglow(n.);
加冕礼	coronation(n.);
验屍官	coroner(n.);
冠冕	coronet(n.);
班长	[军]corpcral(n.);
法人	corporate(adj.);
共同	corporate(adj.)|jointly(adv.)|mutual(adj.)|together(adv.);
军团	corps(n.)|legion(n.);
团	corps(n.)|lump(n.)|platoon(n.)|regiment(n.);
畜槛	[美]corral(n.);
合适	correct(adj.)|suitably(adv.);
更正	correct(vt.);
正地	correctly(adv.);
校对员	corrector(n.);
相关	correlation(n.)|correlative(adj.)|pertinent(adj.)|relatively(adv.);
相关语	correlative(n.);
通信	correspond(vi.)|correspondence(n.)|[商]correspondent(adj.)|message(n.);
记者	correspondent(n.)|reporter(n.);
顾客	[商]correspondent(n.)|customer(n.)|patron(n.);
正误表	corrigendum|erratum(pl.);
确证	corroborate(vt.);
使腐蚀	corrode(v.);
侵蚀	corrode(v.)|corrosion(n.)|[建]fret(v.);
腐蚀剂	corrosive(n.)|eater(n.);
贪污	corrupt(adj.)|corruption(n.)|corsair(n.)|malversation(n.);
腐化	corrupt(v.)|deteriorate(v.);
海盗	corsair(n.)|freebooter(n.)|picaroon(n.)|pirate(n.);
外皮	cortex(n.)|cortical(n.)|husk(n.)|incrustation(n.);
徭役	corvee(n.);
乌鸦座	[天]corvue(n.);
连名	cosignatory(adj.);
余弦	[数]cosine(n.);
化粧品	cosmetic(n.)|makeup(n.);
美容术	cosmetology(n.);
宇宙	cosmic(adj.)|cosmos(n.)|universe(n.);
价格	cost(n.)|price(n.)|value(n.);
成本	cost(n.);
水果	coster(n.)|costermonger(n.)|fruit(n.);
鱼小贩	coster(n.)|costermonger(n.);
昂贵	costly(adj.)|dearly(adv.);
温暖	cosy(adj.)|temperance(adj.)|warm(adj.)|warmly(adv.)|warmth(n.);
保温罩	cosy(n.);
小床	cot(n.);
吊床	cot(n.)|hammock(n.);
羊槛	cote(n.);
农舍	cottage(n.)|farm(n.);
小别墅	cottage(n.);
贫农	cottar(n.)|cotter(n.);
棉	cotton(n.);
棉花	cotton(n.)|pily(adj.);
棉纱线	cotton(n.);
棉布	cotton(n.);
子叶	cotyledon(n.);
睡椅	couch(n.);
躺	couch(v.);
咳	cough(n.);
咳嗽	cough(n.);
会	council(n.);
参议员	councilor(n.);
劝导	counsel(n.)|expostulation(n.);
参事	counselor(n.);
数	count(v.)|enumerate(vt.)|number(n.);
列为	count(v.);
依靠	count(v.)|depend(vi.)|hinge(v.)|lean(v.)|repose(v.)|stay(n.);
伯爵	count(n.)|[英]earl(n.);
容貌	countenance(n.)|feature(n.)|look(pl.)|looking(adj.)|visage(n.);
表情	countenance(n.)|expression(n.)|phiz(n.);
计算器	counter(n.);
帐柜	counter(n.);
反对物	counter(n.);
副	counter(adj.);
反作用	counteraction(n.)|retroact(v.)|retroaction(n.);
使平衡	counterbalance(vt.)|equilibrate(v.)|offset(vt.);
抵消	counterbalance(vt.)|offset(n.);
平衡物	counterbalance(n.);
反攻	countercharge(vt.);
反诉	countercharge(vt.);
仿造	counterfeit(adj.)|imitate(vt.)|imitation(n.)|pattern(v.);
仿造品	counterfeit(n.)|imitation(n.);
假冒者	counterfeit(n.)|personator(n.);
存银	counterfoil(n.);
签记	countermark(n.);
计中计	counterplot(n.);
反劝	counterrevolution(n.);
暗号	countersign(n.);
副署	countersign(vt.);
无数	countless(adj.)|infinitely(adv.)|innumerable(adj.)|[诗]myriad(n.)|numberless(adj.)|sumless(adj.)|uncountable(adj.)|uncounted(adj.);
乡气	countrified(adj.);
国家	country(n.)|ese|nation(n.)|national(adj.)|state(adj.);
乡村	country(n.)|rustic(adj.);
故乡	country(n.)|home(n.);
地区	country(n.)|region(n.)|zone(n.);
同乡	countryman(n.);
母岩	[采]countryrock(n.);
农村	countryside(n.);
村妇	countrywoman(n.);
女同胞	countrywoman(n.);
女同乡	countrywoman(n.);
郡	[美]county(n.)|zillah(n.);
州	[英]county(n.)|state(n.);
力偶	[理]couple(n.);
交配	[理]couple(vt.);
对句	couplet(n.)|[韵]distich(n.);
对联	couplet(n.)|[韵]distich(n.);
联结	coupling(n.);
挽钩	coupling(n.);
息票	coupon(n.);
券	coupon(n.);
配给票	coupon(n.);
勇气	courage(n.)|gallantry(n.)|ginger(n.)|gumption(n.)|[美俗]gut(pl.)|mettle(n.)|pluck(n.)|spunk(n.)|valor(n.)|valour(n.);
路线	course(n.)|line(n.)|railway(n.)|route(n.);
课程	course(n.)|curricular(adj.)|curriculum;
赛场	course(n.);
方向	course(n.)|direction(n.)|ling|way(n.)|ways;
一道菜	course(n.);
追猎	course(v.);
宫廷	court(n.);
院子	court(n.)|courtyard(n.);
球场	court(n.)|ground(n.);
爱意	court(n.);
追求	court(v.)|hunting(n.)|pursue(v.)|pursuit(n.);
求婚	court(v.)|proposal(n.);
争取	court(v.)|fight(n.)|scramble(n.);
妓女	courtesan(n.)|harlot(n.)|prostitute(n.)|strumpet(n.);
朝臣	courtier(n.);
求爱	courtship(n.)|sweetheart(v.);
堂表兄	cousin(n.);
弟	cousin(n.);
姊	cousin(n.);
妹	cousin(n.);
订条约	covenant(n.);
覆盖物	cover(n.)|shroud(n.)|slipcover(n.);
套子	cover(n.)|slipcover(n.);
封面	cover(n.);
餐具	cover(n.);
藉口	cover(n.)|excuse(n.)|peg(n.)|pretense(n.)|pretext(n.)|quillet(n.)|subterfuge(n.);
覆	cover(vt.)|muffle(vt.);
支付	cover(vt.)|defray(vt.)|disburse(vt.)|disbursement(n.)|pay(v.)|paying(adj.)|payment(n.);
走过	cover(vt.)|past(pre.);
掩护	cover(vt.)|covering(n.)|covering(adj.);
被覆	covering(n.)|mantle(n.)|revetment(n.);
房顶	covering(n.);
被单	coverlet(n.);
隐伏处	covert(adj.);
母牛	cow(n.);
乳牛	cow(n.);
吓	cow(vt.)|overawe(vt.);
懦夫	coward(n.)|craven(n.)|dastard(n.)|milksop(n.)|poltroon(n.);
怯懦	cowardice(n.)|cowardiness(n.)|cowardly(adj.)|poltroonery(n.)|recreancy(n.)|recreant(adj.)|skittish(adj.)|unmanned(adj.);
毒芹	cowbane(n.);
牧人	cowboy(n.)|herdsman(n.)|pastoral(adj.)|rancho(n.);
排障器	[美]cowcatcher;
菜腌菜	[美]cowcumbers;
海牛	cowfish(n.)|[动]manatee(n.);
牛皮	cowhide(n.)|oxhide(n.);
乳树	cowtree(n.);
艇长	cox(n.);
舵手	cox(n.)|helmsman(n.)|steersman(n.)|wheelman(n.);
做舵手	cox(v.);
驾驶	cox(v.)|navigate(v.)|pilot(v.)|steer(v.);
编取	cozen(v.);
安逸	cozy(adj.)|idleness(n.);
惬意	cozy(adj.);
蟹	crab(n.);
蟹肉	crab(n.);
乖张	crabbed(adj.)|perverse(adj.);
牢骚话	[美]crabfest(n.);
裂缝	crack(n.)|cranny(n.)|crevice(n.)|fissure(n.)|gap(n.)|hiatus(n.)|slit(n.);
破裂声	crack(n.);
上品	[美]crackajack(n.);
爆竹	cracker(n.)|squib(n.);
爆裂声	crackle(n.)|crackling(n.);
松脆	crackling(n.);
统治	cracy|[生]dominant(adj.)|dominate(vt.)|govern(v.)|lord(v.)|raj(n.)|regnant(adj.)|reign(v.)|rule(n.)|rule(v.)|ruling(n.)|ruling(adj.)|ruling(v.);
发源	cradle(n.);
技术	craft|skill(n.)|technique(n.)|technology(n.);
悬崖	crag(n.)|rimrock(n.);
填塞	cram(vi.)|padding(n.)|ram(v.)|tamping(n.);
填满	cram(vi.);
抽筋	cramp(n.)|spasm(n.)|spasmodic(adj.)|tic(n.)|twitch(n.)|vellication(n.);
痉挛	cramp(n.);
电鳐	crampfish(n.);
鞋底钉	crampon(n.);
蔓越橘	cranberry(n.);
鸟鹤	crance(n.);
苍鹭	[美]crance(n.)|[鸟]heron(n.);
鹤座	[天]crance(n.);
起重机	[天]crance(n.)|crane(n.)|hoist(n.)|jack(n.);
虹吸器	[天]crance(n.)|crane(n.);
过山龙	[天]crance(n.);
鹤	crane(n.);
伸颈	crane(vt.);
曲柄	[机]crank(n.)|winch(n.);
罅缝	cranny(n.);
坠毁	crash(v.)|crash(n.);
粗鲁	[雅]crass(adj.)|impolitely(adv.)|impoliteness(n.)|offhand(adj.)|offhand(adv.)|rudely(adv.)|surliness(n.);
喷火口	crater(n.);
领带	cravat(n.)|necktie(n.)|tie(n.);
围巾	cravat(n.)|handkerchief(n.)|muffler(n.)|[古]neckerchief(n.)|pinafore(n.)|pinny(n.)|scarf(n.)|shawl(n.)|wrap(n.);
胆小	craven(adj.)|hareheated(adj.)|pigeonhearted(adj.)|poltroonery(n.)|recreancy(n.)|recreant(adj.)|timid(adj.)|timidly(n.)|timorous(adj.)|tremulous(adj.)|whitelivered(adj.);
嗦子	[鸟]craw(n.);
爬行	crawl(vi.);
慢行	crawl(vi.);
爬行者	crawler(n.);
缓步者	crawler(n.);
蜡笔	crayon(n.);
蜡笔画	crayon(n.);
使发狂	craze(vt.)|derange(vt.)|distemper(vt.)|madden(vt.);
狂热	craze(n.)|phrenetic(adj.)|turnedon(adj.)|whitehot(adj.);
俊品	cream(n.);
奶油厂	creamery(n.);
折缝	crease(n.);
创造	create(vt.)|creation(n.)|invent(vt.)|invention(n.)|make(v.);
创作	create(vt.)|facture(n.)|make(v.);
授伯位	create(vt.);
创举	creation(n.);
创造者	creator(n.)|inventor(n.);
创造物	creature(n.);
工具	[法]creche(n.)|implement(n.)|instrument(n.)|tool(n.);
托儿所	[法]creche(n.)|nursery(n.);
信心	credence(n.)|faith(n.);
国书	credentials(n.);
介绍信	credentials(n.);
可靠	credible(adj.)|reassuring(adj.)|reliable(adj.)|reliably(adv.)|reliant(adj.)|safe(adj.)|sound(adj.)|unfailing(adj.);
荣誉	credit(n.)|distinction(n.)|glorification(n.)|honor(n.)|honorable(adj.);
贷款	credit(n.);
贷方	[簿]credit(n.)|[簿]creditor(n.);
信	[簿]credit(vt.)|letter(n.);
债权人	creditor(n.);
信条	[宗]credo(n.)|formula(n.)|gospel(n.)|persuasion(n.);
轻信	credulity(n.)|credulous(adj.);
教条	creed(n.)|dogma(n.)|dogmatic(adj.);
鱼篮	creel(n.);
爬	creep;
蔓延	creep|infest(vt.)|pervasive(adj.)|rampancy(n.)|rampant(adj.);
爬虫	creeper(n.);
蔓草	creeper(n.);
焚化	cremate(vt.)|incinerate(vt.);
火葬	cremate(vt.)|cremation(n.);
杂酚油	creosote(n.);
绉绸	[法]crepe(n.);
渐强	[乐]crescendo(n.);
新月	crescent(n.);
甲酚	cresol(n.);
水芹	[植]cress(n.);
羽毛饰	crest(n.);
顶锋	crest(n.);
登锋	crest(v.);
秣槽	crib(n.)|feeder(n.);
牛槛	crib(n.);
蟋蟀	cricket(n.)|grig(n.);
矮凳	[美]cricket(n.);
板球	[美]cricket(n.);
喊叫者	crier(n.);
罪	crime(n.)|guilt(n.)|peccancy(n.)|sin(n.);
坏事	[俗]crime(n.)|rascality(n.)|roguery(n.)|villainy(n.);
罪犯	criminal(n.)|culprit(n.);
犯罪学	criminology(n.);
卷发	crimp(v.)|curl(n.)|ringlet(n.);
使皱	crimp(v.);
绉	crinkle(n.);
跛子	cripple(n.);
使残废	cripple(vt.)|disable(vt.)|lame(vt.)|maim(vt.);
卷缩	crisp(adj.)|curly(adj.);
卷曲	crisp(v.);
起绉	crisp(v.)|ruffle(v.);
十字号	crisscross(n.);
标准	criterion|mark(n.)|norm(n.)|standard(n.)|standard(adj.)|touchstone(n.);
批评家	critic(n.);
危急	critical(adj.)|critically(adv.);
临界	critical(adj.);
哇哇声	croak(n.);
编织品	crochet(n.);
瓦罐	crock(n.);
碎瓦片	crock(n.);
残废者	[俗]crock(n.);
瓦器	crockery(n.)|earthenware(n.);
假慈悲	crocodile(n.);
藏红花	crocus(n.);
屈曲	crook(n.);
弄曲	crook(vt.);
用钩抓	crook(vt.);
歪的	crooked(adj.);
庄稼	crop(n.);
收获	crop(n.)|harvest(n.)|harvest(v.)|reap(v.);
耳印	crop(n.);
一大堆	crop(n.);
短发	crop(n.);
鞭柄	crop(n.)|whipstock(n.);
修剪	crop(v.)|lop(n.)|prune(v.)|pruning(n.)|shear(n.)|trim(n.)|trim(v.);
收割	crop(v.)|harvest(v.);
播种	crop(v.)|inseminate(vt.)|planting(n.)|seed(v.)|semination(n.);
剪发	crop(v.);
种植者	cropper(n.)|planter(n.);
槌球戏	croquet(n.);
炸肉饼	[法]croquette(n.);
十字架	cross(n.);
苦难	[喻]cross(n.)|hardship(n.)|tribulation(n.);
杂种	[喻]cross(n.)|crossbreed(n.)|hybrid(n.)|mule(n.);
交叉	[喻]cross(adj.)|intersect(v.);
杂交	crossbreed(n.)|intercross(n.);
横越	crossing(n.)|transit(v.)|traverses(v.);
横断	crossing(n.)|intersect(v.)|transverse(v.)|transversely(adv.);
交叉点	crossing(n.);
转线路	[铁道]crossover(n.);
小钩	crotchet(n.);
叉架	crotchet(n.);
枝叉	crotchet(n.);
怪想	crotchet(n.);
巴豆	[植]croton(n.);
蹲下	crouch(vi.);
蜷着	crouch(vi.);
乌鸦	crow(n.);
雄鸡叫	crow(vi.);
啼	crow(vi.)|cry(v.)|ululate(v.);
铁橇	crowbar(n.);
岩高兰	crowberry(n.);
群众	crowd(n.)|mob(n.)|multitude(n.)|ruck(n.)|throng(n.);
一群人	crowd(n.);
挤进	crowd(v.)|wedge(v.);
毛莨	crowfoot(n.);
冕	crown(n.);
君主	crown(n.)|lord(n.)|monarch(n.)|throne(n.);
王位	crown(n.)|kingship(n.)|regality(n.)|scepter(n.);
帽顶	crown(n.);
至上	crown(n.)|paramount(adj.);
加冕	crown(vt.);
皇太子	crownprince(n.);
百脉根	[植]crowtoe(n.);
坩场	crucible(n.);
磔刑	crucifixion(n.);
天然	crude(adj.)|savage(adj.);
巡逻	cruise(n.)|patrol(n.)|patrol(v.);
巡航	cruise(n.);
游览	cruise(n.)|excursion(n.);
巡洋舰	cruiser(n.);
面包屑	crumb(n.);
些少	crumb(n.)|shred(n.);
弄皱	crumple(v.);
变皱	crumple(v.);
马屁秋	crupper(n.);
十字军	[史]crusade(n.);
压碎	crush(vt.)|crush(n.)|overbear(vt.)|quash(v.);
压碎器	crusher(n.);
面包皮	crust(n.);
外表面	crust(n.);
外覆	crust(v.);
拐杖	crutch(n.);
难点	crux;
要点	crux|[军]draft(n.)|gist(n.)|hinge(n.)|knot(n.)|[美俗]nub|point(n.);
呼声	cry(n.);
啼声	cry(n.)|ululation(n.);
叫喊	crying(adj.)|exclamatory(adj.)|whoop(v.)|yelp(n.)|yelp(v.);
厉害	crying(adj.)|fiercely(adv.)|sharply(adv.);
冷冻剂	cryogen(n.)|refrigerant(n.);
土窖	crypt(n.);
隐秘	cryptic|secrete(v.);
结晶	crystal(n.)|crystallization(n.);
晶体	crystal(n.)|xtal(n.);
水晶	crystalline(adj.);
透明	crystalline(adj.)|limpid(adj.)|liquid(adj.)|lucent(adj.)|lucid(adj.)|pellucid(adj.)|seethrough(adj.)|transparence(n.)|transparency(n.)|transparent(n.)|transparent(adj.)|transparently(adv.);
结晶体	crystalline(n.);
成结晶	crystallize(v.);
小熊	[美]cub(n.);
狐	[美]cub(n.)|fox(n.)|tod(n.);
虎仔	[美]cub(n.);
立方体	cube(n.);
杜鹃	[鸟]cuckoo(n.);
蒸馏瓶	cucurbit(n.);
尾白	[剧]cue(n.);
提示	[剧]cue(n.)|presentment(n.)|prompt(n.)|prompt(v.);
球竿	[桌球]cue(n.);
袖口	cuff(n.)|wristband(n.);
厨房	cuisine(n.)|kitchen(n.);
死巷	[法]culdesac(n.);
死路	[法]culdesac(n.)|[法]impasse(n.);
微小	cule|iota(n.)|potty(adj.)|punily(adv.)|puniness(n.)|puny(adj.)|pygmy(adj.)|tiny(adj.)|tittle(n.)|toothful(n.)|wee(adj.)|whit(n.);
采	[雅]cull(vt.);
拣	[雅]cull(vt.);
选拔	[雅]cull(vt.)|seizure(v.);
到极点	culminate(v.);
裙裤	culottes(n.);
嫌疑犯	culprit(n.)|suspect(n.);
可耕	cultivable(adj.);
耕	cultivate(vt.);
培养	cultivate(vt.)|nourishment(n.)|plant(v.);
耕种	cultivation(n.)|plough(v.);
培养菌	cultivation(n.);
耕者	cultivator(n.);
中耕机	cultivator(n.);
文化	cultural(adj.)|metropolis(n.);
讲究	culture(n.)|particular(adj.);
栽培	culture(n.)|growth(n.)|planting(n.);
小的	culum|culus|diminutive(adj.)|little(adj.)|small(adj.);
方法	culum|how(n.)|manner(n.)|medium(n.)|method(n.)|mode(n.)|plan(n.)|road(n.)|steppingstone(n.)|technique(n.)|way(n.);
暗渠	culvert(n.);
拖累	cumber(vt.)|[俗]encumbrance(n.);
妨害	cumber(vt.)|holdback(n.)|[无]jam(n.)|[无]jam(v.)|let(n.)|molest(vt.)|molestation(n.)|obstructive(adj.)|resister(n.);
繁重	cumbersome(adj.)|onerous(adj.);
小茴香	cumin(n.);
金橘	[植]cumquat(n.)|[植]kumquat(n.);
积云	cumulus;
楔形	cuneiform(adj.)|wedgy(adj.);
萼	cup(n.);
食橱	cupboard(n.)|larder(n.);
碗柜	cupboard(n.);
一满杯	cupful(n.);
爱神	cupid(n.);
圆顶	cupola(n.);
圆顶篷	cupola(n.);
野狗	cur(n.)|pyedog(n.)|tyke(n.);
坏蛋	cur(n.)|rascal(n.);
副牧师	curate(n.);
博物	curator(n.);
勒马绳	curb(n.);
街边石	curb(n.);
遏制	curb(n.)|curb(vt.);
井栏	curb(n.);
姜黄	[植]curcunna(n.);
凝乳	curd(n.);
医疗	cure(n.)|iatrics;
药方	cure(n.)|formula(n.);
治疗	cure(vt.)|doctor(vt.)|iatry|remedial(adj.)|remedy(v.)|therapeutic(adj.)|therapy(n.)|treated(v.)|treatment(n.);
保藏	cure(vt.);
宵禁	curfew(n.);
晚钟	curfew(n.);
古董	curio(n.);
好奇心	curiosity(n.);
珍品	curiosity(n.);
奇人	curiosity(n.)|marvel(n.);
好奇	curious(adj.)|curiously(adv.)|inquisitive(adj.)|vagary(n.);
稀奇	curious(adj.)|curiously(adv.);
锔	[化]curium(n.);
使卷曲	curl(v.);
铜的	[化]curpic(adj.);
通货	currency(n.);
流	current(n.)|spill(n.)|stream(n.)|streaming(n.);
潮流	current(n.)|tide(n.)|tideway(n.);
通用	current(adj.)|universal(n.);
流行	current(adj.)|obtain(vt.)|obtrude(adj.)|popular(adj.)|prevail(v.)|prevalence(n.)|prevalent(adj.)|rife(adj.)|ruling(adj.);
当前	current(adj.);
目前	currently(adj.)|presently(adv.);
制革匠	currier(n.);
咖哩	curry(n.);
制革	curry(vt.);
鞣皮	curry(vt.);
马栉	currycomb(n.);
灾殃	curse(n.);
使遭殃	curse(v.);
草书	cursive(n.);
草写	cursive(adj.);
草率	cursory(adj.)|curt(adj.)|hurried(adj.)|slipshod(adj.);
削减	curtail(vt.);
帘子	curtain(n.);
弹幕	curtainfire(n.);
曲率	curvature(n.);
曲线	[数]curve(n.);
弄弯	[数]curve(v.);
垫子	cushion(n.)|mat(n.);
痰盂	[美]cuspidor|spittoon(n.);
咀咒	[美俗]cuss(n.);
别扭	[俗]cussed(adj.)|pout(n.);
保管	custodial(adj.)|custody(n.)|depositary(n.)|safekeeping(n.);
看管	custody(n.)|oversight(n.);
拘禁	custody(n.)|impound(vt.);
习惯	custom(n.)|folkway(n.)|habit(n.)|habitual(adj.)|[罕]habitude(n.)|inure(vt.)|practice(n.)|praxis(n.)|use(n.)|wont(n.)|wonted(adj.);
惯例	custom(n.)|observance(n.)|praxis(n.)|rule(n.)|tradition(n.)|traditional(adj.)|traditionary(adj.)|wonted(adj.);
光顾	custom(n.)|patronage(n.);
关税	custom(n.)|duty(n.)|tariff(n.);
海关	custom(n.);
订制	custom(n.);
常例	customary(adj.)|regular(adj.)|rut(n.);
黄瓜	[植]cusumber(n.);
胡瓜	[植]cusumber(n.);
伤口	cut(n.)|embrasure(n.);
切口	cut(n.)|incision(n.)|rift(n.);
图版	cut(n.);
切割	cut(n.);
剪	cut(n.)|snip(n.);
表皮	[解]cuticle(n.)|[植]cuticle(n.)|[植]cutis(n.);
真皮	[解]cutis(n.);
磨刀	cutler(n.);
肉片	cutlet(n.)|fillet(n.);
切者	cutter(n.);
剪辑员	cutter(n.);
小汽艇	cutter(n.);
快的	cutting(adj.)|quick(adj.)|quickly(adv.)|speedy(adj.)|swift(adj.);
墨鱼	cuttle(n.);
乌贼	cuttle(n.)|sepia(n.)|squid(n.);
短匙	cutty(n.);
短的	cutty(adj.)|short(adj.)|shortest(adj.);
氰的	[化]cyanic(adj.);
氰化物	cyanide(n.);
蓝晶石	cyanite(n.);
氰	[化]cyanogen(n.);
黄萎病	cyanosis(n.);
周期	cycle(n.)|periodical(adj.)|wheel(n.);
自行车	cycle(n.);
周波	cycle(n.);
轮转	cycle(vi.);
骑单车	cycle(vi.);
三轮车	cyclecar(n.)|pedicab(n.)|tricycle(n.);
旋风	cyclone(n.)|tornado(n.)|whirlwind(n.);
圆筒	cylinder(n.)|rotor(n.);
汽缸	[机]cylinder(n.);
镜钹	cymbal(n.);
检波器	cymoscope(n.)|radiodetector(n.);
讥诮	cynicism(n.);
柏	[植]cypress(n.);
胞	cyst(n.);
细胞学	cytology(n.);
沙皇	czar(n.);
捷克人	czech(n.);
轻打	dab(n.)|flip(n.)|putt(n.)|tap(n.)|tap(v.);
敷擦	dab(n.);
少量	dab(n.)|dash(n.)|driblet(n.)|handful(n.)|jot(n.)|lick(n.)|morsel(n.)|mouthful(n.)|paucity(n.)|rag(n.)|tot(n.)|trifle(n.);
小鲽	[俗]dab(n.);
轻敲	[俗]dab(v.)|rap(n.)|rap(v.)|tap(v.);
轻敷	[俗]dab(v.);
弄湿	dabble(v.)|damp(v.)|moisten(v.);
钻研	dabble(v.)|[古]delve(v.)|dig|dive(n.);
爸爸	dad(n.)|[美俗]pappy(n.);
爹爹	dad(n.);
短剑	dagger(n.)|stylet(n.)|whinger(n.);
剑号	[印]dagger(n.);
大利花	[植]dahlia(n.);
日报	daily(n.)|journal(n.);
每日	daily(adj.)|quotidian(adj.);
美味	dainty(n.)|delicacy(n.)|sweetness(n.)|toothsome(adj.)|yummy(adj.);
优美	dainty(adj.)|delicacy(n.)|graceful(adj.)|gracefulness(n.)|polished(adj.);
雅致	dainty(adj.);
牛奶场	dairy(n.);
牛奶店	dairy(n.);
制酪业	dairying(n.);
雏菊	[英]daisy(n.);
极品	[美俗]daisy(adj.);
谿谷	[诗]dale(n.);
调戏	dalliance(n.);
调情	dalliance(n.)|flirtation(n.);
嬉戏	dalliance(n.)|[古]disport(v.)|frolic(n.)|frolicsome(adj.)|fun(n.)|gambol(n.)|[俗]lark(n.)|[俗]lark(vi.);
荒废	dally(vi.)|ruined(adj.);
拖延	dally(vi.)|defer(v.)|prolong(v.)|protracted(adj.);
玩弄	dally(vi.)|tamper(v.)|twiddle(v.);
坝	dam(n.);
水闸	dam(n.)|lock(n.)|milldam(n.);
母兽	dam(n.);
损害	damage(n.)|detriment(n.)|disadvantage(n.)|disservice(n.)|hurt(n.)|impair(vt.)|injure(vt.)|lesion(n.)|mischief(n.)|scathe(n.)|vitiate(v.)|vitiation(n.)|wound(v.);
缎子	damask(n.)|satin(n.);
夫人	dame(n.)|maam(n.)|madam(n.)|[法]madame;
痛骂	damn(vt.)|inveigh(vi.);
该罚	damnable(adj.)|punishable(adj.);
指责	damnation(n.)|rebuke(n.)|rebuke(v.);
糟了	damnation(int.);
潮湿	damp(adj.)|dank(adj.)|moist(adj.)|moisture(n.)|muggy(adj.)|watery(adj.)|wettish(adj.);
拨冷水	damp(v.);
腐坏	damp(v.)|spoil(v.);
跳舞	dance(vi.)|dance(vt.)|dancing(n.)|foot(vt.);
舞曲	dance(vi.);
摇摆	dance(vt.)|pendulous(adj.)|pensile(adj.)|rock(v.)|rocking(n.)|swing(n.)|swing(v.)|wag(v.)|waggle(n.)|waggle(v.);
舞女	dancer(n.)|terpsichorean(n.);
舞蹈家	dancer(n.);
北极光	dancers，merry(n.);
舞蹈	dancing(n.)|terpsichorean(adj.);
蒲公英	dandelion(n.);
舞弄	dandle(vt.);
头垢	dandriff(n.)|scurf(n.);
头皮屑	dandriff(n.);
丹麦人	dane(n.);
危险	danger(n.)|dangerous(adj.)|dangerousness(n.)|hazard(n.)|[古]parlous(adj.)|peril(n.)|perilous(adj.)|risk(n.)|threatening(adj.)|touchandgo(adj.)|treacherous(adj.)|uncannily(adv.);
悬摆	dangle(v.);
追逐	dangle(v.)|hunt(n.);
夸耀	dangle(v.)|display(n.)|flaunt(n.)|ostentation(n.)|pomp(n.)|pomposity(n.);
丹麦	danish(adj.)|denmark(n.);
斑纹	dapple(n.)|streak(n.)|stripe(n.);
俚手铐	darbies(n.);
敢	dare(v.);
阴沉	dark(adj.)|gray(adj.);
暗黑	dark(n.)|shadowy(adj.);
无知	dark(n.)|ignorance(n.)|ignorant(adj.)|nescience(n.)|unenlightened(adj.)|unwisdom(n.);
阴	darken(v.);
暗	darkly(adv.);
缝补	darn(n.)|patchy(adj.);
标枪	dart(n.)|javelin(n.);
镳	dart(n.);
冲前	dart(n.)|dart(v.);
发射	dart(v.)|eject(v.)|emission(n.)|eradiate(vt.)|projectile(adj.)|projection(n.)|shoot(n.)|shooting(n.)|shooting(v.)|transmit(n.);
窜	dart(v.);
干劲	dash(n.)|energy(n.)|[美俗]gut(pl.);
破折号	dash(n.);
遮泥板	dashboard(n.);
短跑家	[美]dashman(n.);
日期	date(n.);
